611153,Computing equilibria in multi-player games.,|['Christos H. Papadimitriou', 'Tim Roughgarden']|,|['592779', '632435', '592841', '621824', '211940', '210451', '621925', '268834']|
611154,Improved Steiner tree approximation in graphs.,|['Gabriel Robins', 'Alexander Zelikovsky']|,|['611234', '209932', '929956', '621537', '446435', '610744', '620719']|
611155,Multi-dimensional online tracking.,|['Ke Yi', 'Qin Zhang']|,|['775186', '621540', '644251', '110872', '642356', '598440', '611602', '642502', '642394', '599027', '1118518', '599445', '774784', '111583', '2360', '623301']|
611156,The complexity of low-distortion embeddings between point sets.,|['Christos H. Papadimitriou', 'Shmuel Safra']|,|['835893', '971888', '210994', '622520', '622328', '621382', '949556', '1031061', '622468', '544060', '952511']|
611157,A faster and simpler fully dynamic transitive closure.,['Liam Roditty'],|['211155', '1497932', '1092236', '931880', '979960', '660846']|
611158,Estimators and tail bounds for dimension reduction in &alpha; (0 &lt; &alpha; &le; 2) using stable random projections.,['Ping Li'],[]
611159,The Bisection Width of Grid Graphs.,|['Christos H. Papadimitriou', 'Martha Sideri']|,[]
611160,A New and Simple Algorithm for Quality 2-Dimensional Mesh Generation.,['Jim Ruppert'],[]
611161,Edge dominating and hypomatchable sets.,['Ojas Parekh'],[]
611162,A fast algorithm to generate unlabeled necklaces.,|['Frank Ruskey', 'Joe Sawada']|,|['611182', '1089325', '850508', '953448']|
